word,vowels,condition,harmonic,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
t i p u,i u,training,TRUE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
m i n u,i u,training,TRUE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
g i b u,i u,training,TRUE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
p i m u,i u,training,TRUE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
k i p i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
d i m i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
n i b i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
t i d i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
d e g o,e o,training,TRUE,-4.882260275,-7.999061128,-7.997974418,1.2480893329653575,1.248089608114631,1.0072723882336487,1.007278613686123
t e g o,e o,training,TRUE,-4.882260275,-7.999061128,-7.997974418,1.2480893329653575,1.248089608114631,1.0072723882336487,1.007278613686123
n e d o,e o,training,TRUE,-4.882260275,-7.999061128,-7.997974418,1.2480893329653575,1.248089608114631,1.0072723882336487,1.007278613686123
p e k o,e o,training,TRUE,-4.882260275,-7.999061128,-7.997974418,1.2480893329653575,1.248089608114631,1.0072723882336487,1.007278613686123
b e m e,e e,training,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
p e g e,e e,training,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
n e k e,e e,training,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
k e t e,e e,training,TRUE,-3.599325928,-5.142507531,-5.142678466,1.4007978314036587,1.4007838699894273,1.0663955060370145,1.066357665253645
m u t i,u i,training,TRUE,-3.978722989,-6.971216726,-6.970018295,1.2763525334522297,1.2763500180538916,1.003974173698196,1.0039828574090464
b u n i,u i,training,TRUE,-3.978722989,-6.971216726,-6.970018295,1.2763525334522297,1.2763500180538916,1.003974173698196,1.0039828574090464
k u g i,u i,training,TRUE,-3.978722989,-6.971216726,-6.970018295,1.2763525334522297,1.2763500180538916,1.003974173698196,1.0039828574090464
m u k i,u i,training,TRUE,-3.978722989,-6.971216726,-6.970018295,1.2763525334522297,1.2763500180538916,1.003974173698196,1.0039828574090464
g u t u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
b u d u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
g u b u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
k u n u,u u,training,TRUE,-4.998801535,-4.632601883,-4.633086704,1.162907938794638,1.1629159995017078,1.0278308703556944,1.0278217729538361
t o n e,o e,training,TRUE,-4.882260275,-7.138457137,-7.138122823,1.2721152683397663,1.272113152876291,1.0071558435504173,1.0071621558671449
m o t e,o e,training,TRUE,-4.882260275,-7.138457137,-7.138122823,1.2721152683397663,1.272113152876291,1.0071558435504173,1.0071621558671449
n o p e,o e,training,TRUE,-4.882260275,-7.138457137,-7.138122823,1.2721152683397663,1.272113152876291,1.0071558435504173,1.0071621558671449
b o k e,o e,training,TRUE,-4.882260275,-7.138457137,-7.138122823,1.2721152683397663,1.272113152876291,1.0071558435504173,1.0071621558671449
p o d o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
d o b o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
d o p o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
g o m o,o o,training,TRUE,-6.165194622,-7.653880157,-7.653233687,1.1194067699014651,1.1194188910014948,1.007353969511911,1.0073601341594074
t i p u,i u,training,TRUE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
m i n u,i u,training,TRUE,-3.978722989,-8.518282216,-8.514527485,1.2228416526594879,1.2228441961324727,1.0012936459838702,1.0013043275725533
k i p i,i i,training,TRUE,-2.958644443,-3.939314687,-3.939528548,1.3362862473170796,1.3362782146846566,1.0528180504405389,1.052790329342712
