word,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_uni_score_smoothed,pos_bi_score,pos_bi_score_smoothed
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e i,-3.331682583,-3.955757737,-3.957246958,1.3970769473091538,1.3970110281246353,1.0671920607122007,1.0670001163196463
e i,-3.331682583,-3.955757737,-3.957246958,1.3970769473091538,1.3970110281246353,1.0671920607122007,1.0670001163196463
e i,-3.331682583,-3.955757737,-3.957246958,1.3970769473091538,1.3970110281246353,1.0671920607122007,1.0670001163196463
e i,-3.331682583,-3.955757737,-3.957246958,1.3970769473091538,1.3970110281246353,1.0671920607122007,1.0670001163196463
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
i e,-3.331682583,-4.879652729,-4.880655084,1.3359319809259282,1.3358921138767095,1.031406888499708,1.0313481447016402
i e,-3.331682583,-4.879652729,-4.880655084,1.3359319809259282,1.3358921138767095,1.031406888499708,1.0313481447016402
i e,-3.331682583,-4.879652729,-4.880655084,1.3359319809259282,1.3358921138767095,1.031406888499708,1.0313481447016402
i e,-3.331682583,-4.879652729,-4.880655084,1.3359319809259282,1.3358921138767095,1.031406888499708,1.0313481447016402
u u,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
u u,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
u u,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
u u,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
o u,-5.493989433,-5.158687242,-5.161659818,1.1625285470165856,1.1625678664510501,1.0215995329830707,1.021577294405025
o u,-5.493989433,-5.158687242,-5.161659818,1.1625285470165856,1.1625678664510501,1.0215995329830707,1.021577294405025
o u,-5.493989433,-5.158687242,-5.161659818,1.1625285470165856,1.1625678664510501,1.0215995329830707,1.021577294405025
o u,-5.493989433,-5.158687242,-5.161659818,1.1625285470165856,1.1625678664510501,1.0215995329830707,1.021577294405025
u o,-5.493989433,-8.214750358,-8.192716723,1.1168634271285969,1.1169238923250477,1.001517805020432,1.0015703152262416
u o,-5.493989433,-8.214750358,-8.192716723,1.1168634271285969,1.1169238923250477,1.001517805020432,1.0015703152262416
u o,-5.493989433,-8.214750358,-8.192716723,1.1168634271285969,1.1169238923250477,1.001517805020432,1.0015703152262416
u o,-5.493989433,-8.214750358,-8.192716723,1.1168634271285969,1.1169238923250477,1.001517805020432,1.0015703152262416
o o,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
o o,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
o o,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
o o,-5.680684174,-6.266032622,-6.266332031,1.1218980741619446,1.1219563598575153,1.007589025,1.007618936838432
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e e,-3.133847257,-4.068530522,-4.069848957,1.409394518821121,1.4093228498074453,1.0705195563339172,1.0703152262417122
e i,-3.331682583,-3.955757737,-3.957246958,1.3970769473091538,1.3970110281246353,1.0671920607122007,1.0670001163196463
e i,-3.331682583,-3.955757737,-3.957246958,1.3970769473091538,1.3970110281246353,1.0671920607122007,1.0670001163196463
i e,-3.331682583,-4.879652729,-4.880655084,1.3359319809259282,1.3358921138767095,1.031406888499708,1.0313481447016402
i e,-3.331682583,-4.879652729,-4.880655084,1.3359319809259282,1.3358921138767095,1.031406888499708,1.0313481447016402
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
i i,-3.52951791,-4.550353557,-4.55168656,1.323614409413961,1.3235802921938995,1.0478692352597783,1.0477492148423868
u u,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
u u,-5.307294691,-5.147039252,-5.149897812,1.1574938999832378,1.1575353989185826,1.0248686514886165,1.0248342445038967
o u,-5.493989433,-5.158687242,-5.161659818,1.1625285470165856,1.1625678664510501,1.0215995329830707,1.021577294405025
o u,-5.493989433,-5.158687242,-5.161659818,1.1625285470165856,1.1625678664510501,1.0215995329830707,1.021577294405025
