word,ortho
m a ɾ a n,maran
m a k a n,makan
b a ɾ a n,baran
m e ɾ a n,meran
m a ɫ a n,malan
m a n a n,manan
k a n a n,kanan
m a h a n,mahan
k a h a n,kahan
m a m a n,maman
h a ɾ a n,haran
b a ɫ a n,balan
m a j a n,mayan
b a n a n,banan
m a ɾ a ɾ,marar
b a h a n,bahan
m a t a n,matan
b e ɾ a n,beran
b a m a n,baman
k a t a n,katan
