word,word_len,uni_prob,uni_prob_freq_weighted,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
e e,2,-3.1338472570158693,nan,-4.068530521635829,nan,-4.069848956570117,nan,1.409394518821121,nan,1.4093228498074453,nan,1.0705195563339172,nan,1.0703152262417122,nan
u o,2,-5.493989432627761,nan,-8.214750358426524,nan,-8.192716723161334,nan,1.1168634271285969,nan,1.1169238923250477,nan,1.001517805020432,nan,1.0015703152262416,nan
o i,2,-4.605101041950756,nan,-5.809638188841805,nan,-5.809108109881839,nan,1.2717521313715185,nan,1.2717404653540727,nan,1.0070052539404553,nan,1.0070373386064906,nan
y ɯ,2,-5.380109792998537,nan,-9.097892767217813,nan,-8.96949616966784,nan,1.1751429973880727,nan,1.1751762999516528,nan,1.0002918855808522,nan,1.0003489589391648,nan
a y,2,-4.033583838376475,nan,-6.874285111505127,nan,-6.87092508632892,nan,1.3834133206011048,nan,1.383358479346926,nan,1.0032691185055458,nan,1.0033151099220659,nan
ɯ e,2,-4.005704003543899,nan,-7.575000525142768,nan,-7.566702734972444,nan,1.260737091363347,nan,1.2607297762143719,nan,1.0029188558085231,nan,1.002966150982901,nan
o ɯ,2,-5.279122462152934,nan,-8.100772732405277,nan,-8.05680256564212,nan,1.1789325166604852,nan,1.1789641787395317,nan,1.000525394045534,nan,1.0005815982319415,nan
u ɯ,2,-5.092427720546757,nan,-9.401962808852566,nan,-9.272648335009942,nan,1.1738978696271374,nan,1.1739317112070642,nan,1.000116754232341,nan,1.0001744794695824,nan
ɯ ɯ,2,-4.87756075007193,nan,-5.071247063323261,nan,-5.073560325421225,nan,1.1555999051403465,nan,1.155641667917021,nan,1.0252772913018098,nan,1.0252413632662556,nan
i o,2,-4.605101041950756,nan,-6.5799173992066144,nan,-6.579462851242935,nan,1.1737603522043871,nan,1.173796186697342,nan,1.0078225335668418,nan,1.0078515761312086,nan
