Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
6,1701424087050,01/12/2023 09:48:07,1701424086994,1,01/12/2023 10:48:06,146089,8,task-axcc,,33345168,BLIND,9872955,,complete,,6569ab5cd4ce915953b157e1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Audio Check,9,SoundCheckPassed,1,test passed,5,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1550.2000000029802,,,,,0,1,0,,,,,,Audio Check,diş
7,1701424087159,01/12/2023 09:48:07,1701424086997,1,01/12/2023 10:48:06,146089,8,task-axcc,,33345168,BLIND,9872955,,complete,,6569ab5cd4ce915953b157e1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Audio Check,9,SoundCheckPassed,1,test passed,5,,,,,,yes,Spreadsheet1,,,END TASK,,,,,23023,,,,,0,1,0,,,,,,,
1,1701424398183,01/12/2023 09:53:18,1701424398027,0,01/12/2023 09:53:18,146089,8,task-axcc,,33345361,BLIND,9872980,,complete,,6569ac6257c98464ecddb455,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1486x707,,,,Audio Check,9,SoundCheckPassed,3,test passed,,,1,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701424410428,01/12/2023 09:53:30,1701424410312,0,01/12/2023 09:53:30,146089,8,task-axcc,,33345361,BLIND,9872980,,complete,,6569ac6257c98464ecddb455,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1486x707,,,,Audio Check,9,SoundCheckPassed,3,test passed,,,1,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,12207.89999961853,,,,,0,1,0,,,,,,Instructions,
3,1701424413114,01/12/2023 09:53:33,1701424413005,0,01/12/2023 09:53:33,146089,8,task-axcc,,33345361,BLIND,9872980,,complete,,6569ac6257c98464ecddb455,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1486x707,,,,Audio Check,9,SoundCheckPassed,3,test passed,,,1,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,2682,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Audio Check,diş
4,1701424414718,01/12/2023 09:53:34,1701424414627,0,01/12/2023 09:53:34,146089,8,task-axcc,,33345361,BLIND,9872980,,complete,,6569ac6257c98464ecddb455,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1486x707,,,,Audio Check,9,SoundCheckPassed,3,test passed,,,1,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_rating_scale_likert_active,4303.400000095367,,,diş,1,1,0,0,,,,,,Audio Check,diş
5,1701424416185,01/12/2023 09:53:36,1701424416034,0,01/12/2023 09:53:36,146089,8,task-axcc,,33345361,BLIND,9872980,,complete,,6569ac6257c98464ecddb455,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1486x707,,,,Audio Check,9,SoundCheckPassed,3,test passed,,,1,,,,yes,Spreadsheet1,Spreadsheet1,2,1,3,Correct,advancementZone,continue_button,1397.6999998092651,,,,,0,1,0,,,,,,Audio Check,diş
6,1701424416451,01/12/2023 09:53:36,1701424416036,0,01/12/2023 09:53:36,146089,8,task-axcc,,33345361,BLIND,9872980,,complete,,6569ac6257c98464ecddb455,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1486x707,,,,Audio Check,9,SoundCheckPassed,3,test passed,,,1,,,,yes,Spreadsheet1,,,END TASK,,,,,18009,,,,,0,1,0,,,,,,,
1,1701424473317,01/12/2023 09:54:33,1701424471745,1,01/12/2023 10:54:31,146089,8,task-axcc,,33345396,BLIND,9872984,,complete,,6569acf444b76045df88500e,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x811,,,,Audio Check,9,SoundCheckPassed,4,test passed,,,,5,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1701424493280,01/12/2023 09:54:53,1701424491730,1,01/12/2023 10:54:51,146089,8,task-axcc,,33345396,BLIND,9872984,,complete,,6569acf444b76045df88500e,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x811,,,,Audio Check,9,SoundCheckPassed,4,test passed,,,,5,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,19884.900000095367,,,,,0,1,0,,,,,,Instructions,
