Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio file,Orthography
11,1701392299227,01/12/2023 00:58:19,1701392297010,1,01/12/2023 01:58:17,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,,,END TASK,,,,,32717,,,,,0,1,0,,,,,,,,
1,1701392460700,01/12/2023 01:01:00,1701392461379,1,01/12/2023 02:01:01,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1701392469471,01/12/2023 01:01:09,1701392470200,1,01/12/2023 02:01:10,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8791.600000023842,,,,,0,1,0,,,,,,Prompt,,
3,1701392469562,01/12/2023 01:01:09,1701392470210,1,01/12/2023 02:01:10,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,marar.wav,marar
4,1701392469562,01/12/2023 01:01:09,1701392470220,1,01/12/2023 02:01:10,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,11.600000023841858,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,marar.wav,marar
5,1701392473509,01/12/2023 01:01:13,1701392474236,1,01/12/2023 02:01:14,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_endValue,4026.899999976158,,,100,,0,1,0,,,,,,Task,marar.wav,marar
6,1701392473609,01/12/2023 01:01:13,1701392474237,1,01/12/2023 02:01:14,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone4,continue_button,4026.899999976158,,,,,0,1,0,,,,,,Task,marar.wav,marar
7,1701392473609,01/12/2023 01:01:13,1701392474245,1,01/12/2023 02:01:14,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,façön.wav,façön
8,1701392473609,01/12/2023 01:01:13,1701392474247,1,01/12/2023 02:01:14,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,content_web_audio,2.399999976158142,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,façön.wav,façön
9,1701392478160,01/12/2023 01:01:18,1701392478889,1,01/12/2023 02:01:18,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_endValue,4644.699999928474,,,29,,0,1,0,,,,,,Task,façön.wav,façön
10,1701392478257,01/12/2023 01:01:18,1701392478890,1,01/12/2023 02:01:18,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone4,continue_button,4644.699999928474,,,,,0,1,0,,,,,,Task,façön.wav,façön
11,1701392478257,01/12/2023 01:01:18,1701392478892,1,01/12/2023 02:01:18,146089,8,task-umle,,33341151,BLIND,9871892,,complete,,65692fbb4c6d497f8fcef03e,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1825x964,,,,Test Run Phonotactics,5,SoundCheckPassed,6,test passed,,,,,,5,yes,Spreadsheet1,,,END TASK,,,,,17513,,,,,0,1,0,,,,,,,,
1,1701392811420,01/12/2023 01:06:51,1701392811214,-5,30/11/2023 20:06:51,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1701392824319,01/12/2023 01:07:04,1701392824133,-5,30/11/2023 20:07:04,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,12898.20000000298,,,,,0,1,0,,,,,,Prompt,,
3,1701392824457,01/12/2023 01:07:04,1701392824144,-5,30/11/2023 20:07:04,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,marar.wav,marar
4,1701392824457,01/12/2023 01:07:04,1701392824159,-5,30/11/2023 20:07:04,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,16.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,marar.wav,marar
5,1701392840118,01/12/2023 01:07:20,1701392839932,-5,30/11/2023 20:07:19,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_endValue,15789,,,62,,0,1,0,,,,,,Task,marar.wav,marar
6,1701392840268,01/12/2023 01:07:20,1701392839933,-5,30/11/2023 20:07:19,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone4,continue_button,15789,,,,,0,1,0,,,,,,Task,marar.wav,marar
7,1701392840268,01/12/2023 01:07:20,1701392839942,-5,30/11/2023 20:07:19,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,façön.wav,façön
8,1701392840268,01/12/2023 01:07:20,1701392839946,-5,30/11/2023 20:07:19,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,content_web_audio,3.7999999970197678,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,façön.wav,façön
9,1701392844596,01/12/2023 01:07:24,1701392844422,-5,30/11/2023 20:07:24,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_endValue,4479,,,68,,0,1,0,,,,,,Task,façön.wav,façön
10,1701392844717,01/12/2023 01:07:24,1701392844423,-5,30/11/2023 20:07:24,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone4,continue_button,4479,,,,,0,1,0,,,,,,Task,façön.wav,façön
11,1701392844717,01/12/2023 01:07:24,1701392844425,-5,30/11/2023 20:07:24,146089,8,task-umle,,33341183,BLIND,9871900,,complete,,656930e24bde2a6c9da08919,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x735,,,,Test Run Phonotactics,5,SoundCheckPassed,3,test passed,,,6,,,,yes,Spreadsheet1,,,END TASK,,,,,33212,,,,,0,1,0,,,,,,,,
1,1701393035171,01/12/2023 01:10:35,1701393035053,-5,30/11/2023 20:10:35,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1701393054992,01/12/2023 01:10:54,1701393054922,-5,30/11/2023 20:10:54,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,19859.09999999404,,,,,0,1,0,,,,,,Prompt,,
3,1701393055152,01/12/2023 01:10:55,1701393054931,-5,30/11/2023 20:10:54,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,marar.wav,marar
4,1701393055152,01/12/2023 01:10:55,1701393054943,-5,30/11/2023 20:10:54,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,14.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,marar.wav,marar
5,1701393067378,01/12/2023 01:11:07,1701393067304,-5,30/11/2023 20:11:07,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_endValue,12375.5,,,67,,0,1,0,,,,,,Task,marar.wav,marar
6,1701393067508,01/12/2023 01:11:07,1701393067305,-5,30/11/2023 20:11:07,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone4,continue_button,12375.5,,,,,0,1,0,,,,,,Task,marar.wav,marar
7,1701393067508,01/12/2023 01:11:07,1701393067311,-5,30/11/2023 20:11:07,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,façön.wav,façön
8,1701393067508,01/12/2023 01:11:07,1701393067313,-5,30/11/2023 20:11:07,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,content_web_audio,2.100000001490116,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,façön.wav,façön
9,1701393073660,01/12/2023 01:11:13,1701393073590,-5,30/11/2023 20:11:13,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_endValue,6278.89999999851,,,0,,0,1,0,,,,,,Task,façön.wav,façön
10,1701393073782,01/12/2023 01:11:13,1701393073592,-5,30/11/2023 20:11:13,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone4,continue_button,6278.89999999851,,,,,0,1,0,,,,,,Task,façön.wav,façön
11,1701393073782,01/12/2023 01:11:13,1701393073594,-5,30/11/2023 20:11:13,146089,8,task-umle,,33341216,BLIND,9871903,,complete,,65693176fc7f559245d3e346,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1920x1080,1097x536,,,,Test Run Phonotactics,5,SoundCheckPassed,4,test passed,,,,1,,,yes,Spreadsheet1,,,END TASK,,,,,38541,,,,,0,1,0,,,,,,,,
1,1701393105560,01/12/2023 01:11:45,1701393105703,-5,30/11/2023 20:11:45,146089,8,task-umle,,33341232,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1275,,,,Test Run Phonotactics,5,SoundCheckPassed,2,test passed,,4,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1701393158686,01/12/2023 01:12:38,1701393158860,-5,30/11/2023 20:12:38,146089,8,task-umle,,33341232,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1275,,,,Test Run Phonotactics,5,SoundCheckPassed,2,test passed,,4,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,53139.5,,,,,0,1,0,,,,,,Prompt,,
3,1701393158818,01/12/2023 01:12:38,1701393158869,-5,30/11/2023 20:12:38,146089,8,task-umle,,33341232,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1275,,,,Test Run Phonotactics,5,SoundCheckPassed,2,test passed,,4,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,marar.wav,marar
4,1701393158818,01/12/2023 01:12:38,1701393158873,-5,30/11/2023 20:12:38,146089,8,task-umle,,33341232,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1275,,,,Test Run Phonotactics,5,SoundCheckPassed,2,test passed,,4,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,marar.wav,marar
5,1701393166895,01/12/2023 01:12:46,1701393167086,-5,30/11/2023 20:12:47,146089,8,task-umle,,33341232,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1275,,,,Test Run Phonotactics,5,SoundCheckPassed,2,test passed,,4,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,8218.199999999255,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Task,marar.wav,marar
6,1701393169344,01/12/2023 01:12:49,1701393169538,-5,30/11/2023 20:12:49,146089,8,task-umle,,33341232,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1275,,,,Test Run Phonotactics,5,SoundCheckPassed,2,test passed,,4,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_endValue,10664.699999999255,,,75,,0,1,0,,,,,,Task,marar.wav,marar
7,1701393169459,01/12/2023 01:12:49,1701393169539,-5,30/11/2023 20:12:49,146089,8,task-umle,,33341232,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1275,,,,Test Run Phonotactics,5,SoundCheckPassed,2,test passed,,4,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone4,continue_button,10664.699999999255,,,,,0,1,0,,,,,,Task,marar.wav,marar
8,1701393169459,01/12/2023 01:12:49,1701393169544,-5,30/11/2023 20:12:49,146089,8,task-umle,,33341232,BLIND,9871913,,complete,,6569321bb6f1cb9e1fa08baa,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,2560x1440,2560x1275,,,,Test Run Phonotactics,5,SoundCheckPassed,2,test passed,,4,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,façön.wav,façön
