Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio file,Orthography
1,1701392266501,01/12/2023 00:57:46,1701392264293,1,01/12/2023 01:57:44,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,
2,1701392283262,01/12/2023 00:58:03,1701392281087,1,01/12/2023 01:58:01,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,16774.80000001192,,,,,0,1,0,,,,,,Prompt,,
3,1701392283325,01/12/2023 00:58:03,1701392281095,1,01/12/2023 01:58:01,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,marar.wav,marar
4,1701392283325,01/12/2023 00:58:03,1701392281106,1,01/12/2023 01:58:01,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_web_audio,11.899999976158142,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,marar.wav,marar
5,1701392289298,01/12/2023 00:58:09,1701392287134,1,01/12/2023 01:58:07,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone3,response_slider_endValue,6040.299999952316,,,72,,0,1,0,,,,,,Task,marar.wav,marar
6,1701392289363,01/12/2023 00:58:09,1701392287135,1,01/12/2023 01:58:07,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone4,continue_button,6040.299999952316,,,,,0,1,0,,,,,,Task,marar.wav,marar
7,1701392289363,01/12/2023 00:58:09,1701392287141,1,01/12/2023 01:58:07,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_initialValue,0,,,50,,0,1,0,,,,,,Task,façön.wav,façön
8,1701392289363,01/12/2023 00:58:09,1701392287142,1,01/12/2023 01:58:07,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,content_web_audio,2,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Task,façön.wav,façön
9,1701392299171,01/12/2023 00:58:19,1701392297006,1,01/12/2023 01:58:17,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone3,response_slider_endValue,9865.5,,,50,,0,1,0,,,,,,Task,façön.wav,façön
10,1701392299227,01/12/2023 00:58:19,1701392297007,1,01/12/2023 01:58:17,146089,8,task-umle,,33341123,BLIND,9871884,,complete,,65692ede1b6b5ecd284b2d6a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Test Run Phonotactics,5,SoundCheckPassed,1,test passed,6,,,,,,yes,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone4,continue_button,9865.5,,,,,0,1,0,,,,,,Task,façön.wav,façön
