lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
işte	y	y	iʃte	iʃtedʒi	iʃtejim	iʃteji	iʃtem				l
âmmi	n	n									l
ârız	y	y	a:ɾɯz	a:ɾɯzdʒɯ	a:ɾɯzɯm	a:ɾɯzɯ	a:ɾɯzɯm				l
açı	y	y	atʃɯ	atʃɯdʒɯ	atʃɯjɯm	atʃɯjɯ	atʃɯm				l
ansuit	n	n									l
işteş	n	n									l
iştial	y	y	iʃtial	iʃtialdʒi	iʃtialim	iʃtiali	iʃtialim				l
iştibah	n	n									l
iştidad	n	n									l
iştigal	y	y	iʃtigal	iʃtigaldʒi	iʃtiga:lim	iʃtiga:li	iʃtiga:lim				l
iştiha	y	y	iʃtiha:	iʃtiha:dʒɯ	iʃtiha:jɯm	iʃtiha:jɯ	iʃtiha:m				l
iştihar	n	n									l
iştikâ	n	n									l
iştikak	n	n									l
ant	y	y	ant	anttʃɯ	antɯm	antɯ	antɯm				l
iştira	y	y	iʃtiɾa:	iʃtiɾa:dʒɯ	iʃtiɾa:jɯm	iʃtiɾa:jɯ	iʃtiɾam				l
iştirak	y	y	iʃtiɾak	iʃtiɾaktʃɯ	iʃtiɾa:kɯm	iʃtiɾa:kɯ	iʃtiɾa:kɯm				l
iştiyak	y	y	iʃtijak	iʃtijaktʃɯ	iʃtijakɯm	iʃtijakɯ	iʃtijakɯm				l
işünüş	n	n									l
işve	y	y	iʃve	iʃvedʒi	iʃvejim	iʃveji	iʃvem				l
işveren	y	y	iʃveɾen	iʃveɾendʒi	iʃveɾenim	iʃveɾeni	iʃveɾenim				l
isabet	y	y	isa:bet	isa:bettʃi	isa:betim	isa:beti	isa:betim				l
isaga	n	n									l
isal	y	y	isal	isaldʒi	isa:lim	isa:li	isa:lim				l
isale	y	y	isa:ɫe	isa:ɫedʒi	isa:ɫejim	isa:ɫeji	isa:ɫem				l
antant	y	y	antant	antanttʃɯ	antantɯm	antantɯ	antantɯm				l
isar	y	y	i:ʃaɾ	i:ʃaɾdʒɯ	i:ʃa:ɾɯm	i:ʃa:ɾɯ	i:ʃa:ɾɯm				l
