lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
isbat	y	y	ispat	ispattʃɯ	ispa:tɯm	ispa:tɯ	ispa:tɯm				l
ise	y	y	ise	isedʒi	isejim	iseji	isem				l
isevî	y	y	i:sevi:	i:sevi:dʒi	i:sevi:jim	i:sevi:ji	i:sevi:m				l
isfenc	n	n									l
isfendan	n	n									l
isfenks	y	y	isfenks	isfenkstʃi	isfenskim	isfenksi	isfenksim				l
isga	n	n									l
ishak	n	n									l
ishakkuşu	n	n									l
anten	y	y	anten	antendʒi	antenim	anteni	antenim				l
ishal	y	y	ishal	ishaldʒi	ishalim	ishali	ishalim				l
isilik	y	y	isiɫik	isiɫiktʃi	isiɫiim	isiɫii	isiɫiim				l
isim	y	y	isim	isimdʒi	isimim	ismi	ismim				l
isir	n	n									l
isk-	n	n									l
iska	n	n									l
iskân	y	y	iscan	iscandʒɯ	isca:nɯm	isca:nɯ	isca:nɯm				l
iskât	y	y	iscat	iscattʃɯ	iscatɯm	iscatɯ	iscatɯm				l
iskalarya	n	n									l
iskambil	y	y	iskambiɫ	iskambiɫdʒi	iskambiɫim	iskambiɫi	iskambiɫim				l
antepfıstığı	y	y	antepfɯstɯɯ	antepfɯstɯktʃɯ	antepfɯstɯɯjɯm	antepfɯstɯɯnɯ	antepfɯstɯɯm				l
iskandil	y	y	iskandiɫ	iskandiɫdʒi	iskandiɫim	iskandiɫi	iskandiɫim				l
iskarça	n	n									l
iskarmos	n	n									l
iskarpelâ	n	n									l
iskarpin	y	y	iskaɾpin	iskaɾpindʒi	iskaɾpinim	iskaɾpini	iskaɾpinim				l
iskeç	y	y	sketʃ	sketʃtʃi	sketʃim	sketʃi	sketʃim				l
iskefe	n	n									l
iskele	y	y	iskeɫe	iskeɫedʒi	iskeɫejim	iskeɫeji	iskeɫem				l
iskelet	y	y	iskeɫet	iskeɫettʃi	iskeɫetim	iskeɫeti	iskeɫetim				l
iskemle	y	y	iskemɫe	iskemɫedʒi	iskemɫejim	iskemɫeji	iskemɫem				l
anterit	n	n									l
iskerlet	n	n									l
iskete	n	n									l
iskonto	y	y	iskonto	iskontodʒu	iskontojum	iskontoju	iskontom				l
iskorbüt	y	y	iskoɾbit	iskoɾbittʃi	iskoɾbitim	iskoɾbiti	iskoɾbitim				l
iskorbut	y	y	iskoɾbit	iskoɾbittʃi	iskoɾbitim	iskoɾbiti	iskoɾbitim				l
iskorçina	n	n									l
iskorpit	y	y	iskoɾpit	iskoɾpittʃi	iskoɾpitim	iskoɾpiti	iskoɾpitim				l
iskota	n	n									l
anterlin	n	n									l
islâm	y	y	islam	islamdʒɯ	islamɯm	islamɯ	islamɯm				l
islemek	y	y	isɫemek					isɫeɾ		isɫetiɾ	l
islim	y	y	isɫim	isɫimdʒi	isɫimim	isɫimi	isɫimim				l
ismen	y	y	ismen								l
ismet	y	y	ismet	ismettʃi	ismetim	ismeti	ismetim				l
ismi	y	y	isim	isimdʒi	ismim	ismi	ismim				l
isnad	y	y	isnat	isnattʃɯ	isna:tɯm	isna:dɯ	isna:dɯm				l
isnat	n	n									l
iso-	n	n									l
isp-	n	n									l
antet	y	y	antet	antettʃi	antetim	anteti	antetim				l
ispalya	n	n									l
ispanyol	y	y	ispanjoɫ	ispanjoɫdʒu	ispanjoɫuʒ	ispanjoɫu	ispanjoɫum				l
ispanyolet	y	y	ispanjoɫet	ispanjoɫettʃi	ispanjoɫetim	ispanjoɫeti	ispanjoɫetim				l
ispaolo	n	n									l
ispari	n	n									l
ispat	y	y	ispat	ispattʃɯ	ispa:tɯm	ispa:tɯ	ispa:tɯm				l
ispati	y	y	ispa:ti	ispa:tidʒi	ispa:tijim	ispa:tiji	ispa:tim				l
ispatlamak	y	y	ispatɫamak					ispatɫaɾ		ispatɫatɯɾ	l
ispazmos	y	y	ispazmoz	ispazmozdʒu	ispazmozum	ispazmozu	ispazmozum				l
anti-	n	n									l
ispenc	n	n									l
ispenç	y	y	ispentʃ	ispentʃtʃi	ispendʒim	ispendʒi	ispendʒim				l
ispençiyar	n	n									l
ispenciyar	y	y	ispendʒijaɾ	ispendʒijaɾdʒɯ	ispendʒijaɾɯm	ispendʒijaɾɯ	ispendʒijaɾɯm				l
ispendik	n	n									l
ispermeçet	y	n	ispeɾmetʃet	ispeɾmetʃettʃi	ispeɾmetʃetim	ispeɾmetʃeti	ispeɾmetʃetim				l
ispinoz	y	y	ispinoz	ispinozdʒu	ispinozum	ispinozu	ispinozum				l
ispir	n	n									l
ispiralya	n	n									l
ispirto	y	y	ispiɾto	ispiɾtodʒu	ispiɾtojum	ispiɾtoju	ispiɾtom				l
antik	y	y	antik	antiktʃi	antiim	antii	antiim				l
ispit	n	n									l
ispitalya	n	n									l
ispiyon	y	y	ispijon	ispijondʒu	ispijonum	ispijonu	ispijonum				l
isporcu	y		spoɾdʒu	spoɾdʒu	spoɾdʒujum	spoɾdʒuju	spoɾdʒum				l
ispritizma	y	y	ispiɾitizma	ispiɾitizmadʒɯ	ispiɾitizmajɯm	ispiɾitizmajɯ	ispiɾitizmam				l
israf	y	y	isɾaf	isɾa:ftʃɯ	isɾa:fɯm	isɾa:fɯ	isɾa:fɯm				l
israfil	n	n									l
israil	n	n									l
istadya	n	n									l
istaka	y	y	istaka	istakadʒɯ	istakajɯm	istakajɯ	istakam				l
açıcı	y	y	atʃɯdʒɯ	atʃɯdʒɯ	atʃɯdʒɯjɯm	atʃɯdʒɯjɯ	atʃɯdʒɯm				l
antika	y	y	antika	antikadʒɯ	antikajɯm	antikajɯ	antikam				l
istakoz	y	y	istakoz	istakozdʒu	istakozum	istakozu	istakozum				l
istalâktit	n	n									l
istalagmit	n	n									l
istalya	n	n									l
istalyoz	n	n									l
istampa	y	y	istampa	istampadʒɯ	istampajɯm	istampajɯ	istampam				l
istanbulin	n	n									l
istasyon	y	y	istasjon	istasjondʒu	istasjonum	istasjonu	istasjonum				l
istatistik	y	y	istatistik	istatistiktʃi	istatistiim	istatistii	istatistiim				l
istavrit	y	y	istavɾit	istavɾittʃi	istavɾitim	istavɾiti	istavɾitim				l
antikiklon	y	y	antisikɫon	antisikɫondʒu	antisikɫonum	antisikɫonu	antisikɫonum				l
istavroz	y	y	istavɾoz	istavɾozdʒu	istavɾozum	istavɾozu	istavɾozum				l
istearik	n	n									l
istek	y	y	istek	istektʃi	isteim	istei	isteim				l
isteka	y	y	istaka	istakadʒɯ	istakajɯm	istakajɯ	istakam				l
isteklendirmek	y	y	istekɫendiɾmek					istekɫendiɾiɾ		istekɫendiɾtiɾ	l
istem	y	y	istem	istemdʒi	istemim	istemi	istemim				l
isteme	y	y						isteɾ	istemek	istetiɾ	l
istemek	y	y	istemek					isteɾ		istetiɾ	l
istemli	n	n									l
istenç	y	n	istentʃ	istentʃtʃi	istentʃim	istendʒi	istendʒim				l
antilop	y	y	antiɫop	antiɫoptʃu	antiɫobum	antiɫobu	antiɫobum				l
istence	y	n	istendʒe	istendʒedʒi	istendʒejim	istendʒeji	istendʒem				l
istenilmek	y	y	istenmek					isteniɾ		isteniɫiɾ	l
istenmek	y	y	istenmek					isteniɾ		? istendiɾiɾ	l
istep	y	y	istep	istepim	istepim	istepi	istepim	isteptʃi			l
ister	n	n									l
isteri	y	y	isteɾi	isteɾidʒi	isteɾijim	isteɾiji	isteɾim				l
isterlin	y	y	steɾɫing	steɾɫingdʒi	steɾɫingim	steɾɫingi	steɾɫingim				l
istetmek	y	y	istetmek					istetiɾ		istettiɾiɾ	l
istitaf	n	n									l
istıktab	y	y	istiktap	istiktaptʃɯ	istikta:bɯm	istikta:bɯ	istikta:bɯm				l
antimanyetik	y	y	antimanjetik	antimanjetiktʃi	antimanjetiim	antimanjetii	antimanjetiim				l
istıtla	n	n									l
istiab	y	y	istiap	istiabdʒɯ	istiabɯm	istiabɯ	istiabɯm				l
istiane	n	n									l
istiap	y	y	istiap	istiaptʃɯ	istiabɯm	istiabɯ	istiabɯm				l
istiare	y	y	istiaɾe	istiaɾem	istiaɾejim	istiaɾeji	istiaɾejim				l
istibad	n	n									l
istibat	n	n									l
istibdad	y	y	istibdat	istibdattʃɯ	istibda:dɯm	istibda:dɯ	istibda:dɯm				l
istibdal	n	n									l
istibdat	y	y	istibdat	istibdattʃɯ	istibda:tɯm	istibda:tɯ	istibda:dɯm				l
antlaşma	y	y	antɫaʃma	antɫaʃmadʒɯ	antɫaʃmajɯm	antɫaʃmajɯ	antɫaʃmam				l
istical	y	y	istidʒal	istidʒaldʒi	istidʒa:lim	istidʒa:li	istidʒa:lim				l
isticar	y	n	istidʒaɾ	istidʒaɾdʒɯ	istidʒa:ɾɯm	istidʒa:ɾɯ	istidʒa:ɾɯm				l
isticvab	y	y	istitʃvap	istitʃvaptʃɯ	istitʃva:bɯm	istitʃva:bɯ	istitʃva:bɯm				l
isticvap	y	y	istidʒvap	istidʒvaptʃɯ	istidʒva:bɯm	istidʒva:bɯ	istidʒva:bɯm				l
istida	y	y	istida:	istida:dʒɯ	istida:jɯm	istida:jɯ	istidam				l
istidad	y	y	istidat	istidattʃɯ	istida:dɯm	istida:dɯ	istida:dɯm				l
istidat	y	y	istidat	istidattʃɯ	istida:dɯm	istida:dɯ	istida:dɯm				l
istidlâl	y	y	istidlal	istidlaldʒi	istidla:lim	istidla:li	istidla:lim				l
istidlal	y	y	istidlaɫ	istidlaɫdʒi	istidla:ɫim	istidla:ɫi	istidla:ɫim				l
istif	y	y	istif	istiftʃi	istifim	istifi	istifim				l
antoloji	y	y	antoɫoʒi	antoɫoʒidʒi	antoɫoʒijim	antoɫoʒiji	antoɫoʒim				l
istifa	y	y	istifa:	istifa:dʒɯ	istifa:jɯm	istifa:jɯ	istifa:m				l
istifade	y	y	istifa:de	istifa:dedʒi	istifa:dejim	istifa:deji	istifa:dem				l
istifçi	y	y	istiftʃi	istiftʃi	istiftʃijim	istiftʃiji	istiftʃim				l
istifham	y	y	istifham	istifhamdʒɯ	istifha:mɯm	istifha:mɯ	istifha:mɯm				l
istiflemek	y	y	istifɫemek					istifɫeɾ		istifɫetiɾ	l
istifrağ	y	y	istifɾa:	istifɾa:dʒɯ	istifɾaɯm	istifɾaɯ	istifɾaɯm				l
istifraş	n	n									l
istifsar	n	n									l
istifta	n	n									l
istiğfar	y	y	isti:faɾ	isti:faɾdʒɯ	isti:faɾɯm	isti:faɾɯ	isti:faɾɯm				l
antomolog	n	n									l
istiğlal	n	n									l
istiğna	y	n	isti:na	isti:na:dʒɯ	isti:na:jɯm	isti:na:jɯ	isti:na:m				l
istiğrab	n	n									l
istiğrak	n	n									l
istihale	y	y	istiha:ɫe	istiha:ɫedʒi	istiha:ɫejim	istiha:ɫeji	istiha:ɫem				l
istihare	y	y	istiha:ɾe	istiha:ɾedʒi	istiha:ɾejim	istiha:ɾeji	istiha:ɾem				l
istihbar	y	y	istihbaɾ	istihbaɾdʒɯ	istihba:ɾɯn	istihba:ɾɯ	istihba:ɾɯm				l
istihdaf	n	n									l
istihdam	y	y	istihdam	istihdamdʒɯ	istihda:mɯm	istihda:mɯ	istihda:mɯm				l
istihfaf	y	y	istihfaf	istihfaftʃɯ	istihfa:fɯm	istihfa:fɯ	istihfa:fɯm				l
antraks	n	n									l
istihkâm	y	y	istihcam	istihcamdʒɯ	istihcamɯm	istihcamɯ	istihcamɯm				l
istihkak	y	y	istihcac	istihcactʃɯ	istihca:cɯm	istihca:cɯ	istihca:cɯm				l
istihkar	y	y	istihcaɾ	istihcaɾdʒɯ	istihca:ɾɯm	istihca:ɾɯ	istihca:ɾɯm				l
istihlâf	n	n									l
istihlâk	y	y	istihlak	istihlaktʃɯ	istihla:kɯm	istihla:kɯ	istihla:kɯm				l
istihlâl	n	n									l
istihlâs	n	n									l
istihlak	y	y	istihlak	istihlaktʃi	istihla:kim	istihla:ki	istihla:kim				l
istihmam	n	n									l
istihrac	y	y	istihɾatʃ	istihɾatʃtʃɯ	istihɾa:dʒɯm	istihɾa:dʒɯ	istihɾa:dʒɯm				l
antrakt	y	y	antɯɾakt	antɯɾakttʃɯ	antɯɾaktɯm	antɯɾaktɯ	antɯɾaktɯm				l
istihraç	y	y	istihɾatʃ	istihɾatʃtʃɯ	istihɾa:dʒɯm	istihɾa:dʒɯ	istihɾa:dʒɯm				l
istihsal	y	y	istihsal	istihsaldʒi	istihsa:l im	istihsa:l i	istihsa:l im				l
istihsan	n	n									l
istihza	y	y	istihza:	istihza:dʒɯ	istihza:jɯm	istihza:jɯ	istihza:m				l
istihzar	n	n									l
istika	n	n									l
istikamet	y	y	istika:met	istika:mettʃi	istika:metim	istika:meti	istika:metim				l
istikbal	y	y	istikbal	istikbaldʒi	istikba:lim	istikba:li	istikba:lim				l
istiklâl	y	y	istiklal	istiklaldʒi	istikla:lim	istikla:li	istikla:lim				l
istiklal	y	y	istiklal	istiklaldʒi	istikla:lim	istikla:li	istikla:lim				l
antrasit	y	y	antɾasit	antɾasittʃi	antɾasitim	antɾasiti	antɾasitim				l
istikmal	n	n									l
istiknah	n	n									l
istikra	n	n									l
istikrah	y	y	istikɾah	istikɾahtʃɯ	istikɾa:hɯm	istikɾa:hɯ	istikɾa:hɯm				l
istikrar	y	y	istikɾaɾ	istikɾaɾdʒɯ	istikɾa:ɾɯm	istikɾa:ɾɯ	istikɾa:ɾɯm				l
istikraz	y	y	istikɾaz	istikɾazdʒɯ	istikɾazɯm	istikɾazɯ	istikɾazɯm				l
istikşaf	n	n									l
istiksar	n	n									l
istila	y	y	istila:	istila:dʒɯ	istila:jɯm	istila:jɯ	istila:m				l
istilâ	y	y	istila:	istila:dʒɯ	istila:jɯm	istila:jɯ	istila:m				l
açık	y	y	atʃɯk	atʃɯktʃɯ	atʃɯɯm	atʃɯɯ	atʃɯɯm				l
antrdö	n	n									l
istilâm	n	n									l
istilyoz	n	n									l
istilzam	y	n	istiɫzam	istiɫzamdʒɯ	istiɫza:mɯm	istiɫza:mɯ	istiɫza:mɯm				l
istim	y	y	istim	istimdʒi	istimim	istimi	istimim				l
istima	n	n									l
istimal	y	y	istimal	istima:ldʒi	istima:lim	istima:li	istima:lim				l
istiman	n	n									l
istimar	y	y	istismaɾ	istismaɾdʒɯ	istisma:ɾɯm	istisma:ɾɯ	istisma:ɾɯm				l
istimara	n	n									l
istimbat	n	n									l
antre	y	y	antɾe	antɾedʒi	antɾejim	antɾeji	antɾem				l
istimbot	y	n	istimbot	istimbottʃu	istimbotum	istimbotu	istimbotum				l
istimdad	y	y	istimdat	istimdattʃɯ	istimda:dɯm	istimda:dɯ	istimda:dɯm				l
istimdat	y	y	istimdat	istimdattʃɯ	istimda:dɯm	istimda:dɯ	istimda:dɯm				l
istimhal	n	n									l
istimlâk	y	y	istimlak	istimlaktʃi	istimlakim	istimlaki	istimlakim				l
istimlak	y	y	istimlak	istimlaktʃi	istimla:kim	istimla:ki	istimla:kim				l
istimna	n	n									l
istimrar	n	n									l
istimzaç	y	y	istimzatʃ	istimzatʃtʃɯ	istimza:dʒɯm	istimza:dʒɯ	istimza:dʒɯm				l
istinabe	y	y	istina:be	istina:bedʒi	istina:bejim	istina:beji	istina:bem				l
antrenman	y	y	antɾenman	antɾenmandʒɯ	antɾenmanɯm	antɾenmanɯ	antɾenmanɯm				l
istinad	y	y	istinat	istinattʃɯ	istina:dɯm	istina:dɯ	istina:dɯm				l
istinaden	y	y	istina:den	istina:dendʒi	istina:denim	istina:deni	istina:denim				l
istinaf	y	y	istinaf	istinaftʃɯ	istina:fɯm	istina:fɯ	istina:fɯm				l
istinare	n	n									l
istinas	n	n									l
istinat	y	y	istinat	istinattʃɯ	istina:dɯm	istina:dɯ	istina:dɯm				l
istinbat	n	n									l
istinga	n	n									l
istinkâf	y	y	istincaf	istincaftʃɯ	istinca:fɯm	istinca:fɯ	istinca:fɯm				l
istinsah	n	n									l
antrenör	y	y	antɯɾenøɾ	antɯɾenøɾdʒy	antɯɾenøɾym	antɯɾenøɾy	antɯɾenøɾym				l
istintac	y	y	istintatʃ	istintatʃtʃɯ	istinta:dʒɯm	istinta:dʒɯ	istinta:dʒɯm				l
istintaç	n	n									l
istintak	y	y	istintak	istintaktʃɯ	istinta:kɯm	istinta:kɯ	istinta:kɯm				l
istirahat	y	y	istiɾa:hat	istiɾa:hattʃɯ	istiɾa:hatɯm	istiɾa:hatɯ	istiɾa:hatɯm				l
istirdad	y	y	istiɾdat	istiɾdattʃɯ	istiɾda:dɯm	istiɾda:dɯ	istiɾda:dɯm				l
istirdat	y	y	istiɾdat	istiɾdattʃɯ	istiɾda:dɯm	istiɾda:dɯ	istiɾda:dɯm				l
istirham	y	y	istiɾham	istiɾhamdʒɯ	istiɾha:mɯm	istiɾha:mɯ	istiɾha:mɯm				l
istiridye	y	y	istiɾidje	istiɾidjedʒi	istiɾidjejim	istiɾidjeji	istiɾidjem				l
istirkâb	n	n									l
istişare	y	y	istiʃa:ɾe	istiʃa:ɾedʒi	istiʃa:ɾejim	istiʃa:ɾeji	istiʃa:ɾem				l
antrepo	y	y	antɯɾepo	antɯɾepodʒu	antɯɾepojum	antɯɾepoju	antɯɾepom				l
istişhad	n	n									l
istişmam	n	n									l
istisal	n	n									l
istisgar	n	n									l
istiska	y	y	istiskal	istiskaldʒi	istiska:lim	istiska:li	istiska:lim				l
istiskal	y	y	istiskal	istiska:ldʒi	istiska:lim	istiska:li	istiska:lim				l
istismar	y	y	istismaɾ	istismaɾdʒɯ	istisma:ɾɯm	istisma:ɾɯ	istisma:ɾɯm				l
istisna	y	y	istisna:	istisna:dʒɯ	istisna:jɯm	istisna:jɯ	istisna:m				l
istitaat	n	n									l
istitale	n	n									l
antropo-	n	n									l
istitrad	n	n									l
istitrat	n	n									l
istiva	n	n									l
istizah	y	y	istizah	istizahtʃɯ	istiza:hɯm	istiza:hɯ	istiza:hɯm				l
istizan	y	y	istizan	istizandʒɯ	istizanɯm	istizanɯ	istizanɯm				l
istizmac	n	n									l
istofa	n	n									l
istok	y	y	stok	stoktʃu	stokum	stoku	stokum				l
istop	y	y	stop	stoptʃu	stopum	stopu	stopum				l
istor	y	y	sɯtoɾ	sɯtoɾdʒu	sɯtoɾum	sɯtoɾu	sɯtoɾum				l
anüs	y	y	anys	anystʃy	anysym	anysy	anysym				l
istralya	n	n									l
istromaça	y	y	ustuɾmatʃa	ustuɾmatʃadʒɯ	ustuɾmatʃajɯm	ustuɾmatʃajɯ	ustuɾmatʃam				l
istrongilos	y	y	istɾongiɫos	istɾongiɫostʃu	istɾongiɫosum	istɾongiɫosu	istɾongiɫosum				l
isyan	y	y	isjan	isjandʒɯ	isja:nɯm	isjanɯ ~ isja:nɯ	isja:nɯm				l
itab	n	n									l
ita	y	y	ita:	ita:dʒɯ	ita:jɯm	ita:jɯ	ita:m				l
itaat	y	y	itaat	itaattʃi	itaatim	itaati	itaatim				l
itab	n	n									l
italik	y	n	itaɫik	itaɫiktʃi	itaɫikim	itaɫiki	itaɫiim				l
anud	y	y	anut	anuttʃu	anudum	anudu	anudum				l
itap	n	n									l
itboğan	n	n									l
itburnu	n	n									l
itdirseği	n	n									l
iteklemek	y	y	itekɫemek					itekɫeɾ		itekɫetiɾ	l
iterbiyum	y	y	iteɾbijum	iteɾbijumdʒu	iteɾbijumum	iteɾbijumu	iteɾbijumum				l
itfa	y	y	itfa:	itfa:dʒɯ	itfa:jɯm	itfa:jɯ	itfa:m				l
ithaf	y	y	ithaf	ithaftʃɯ	itha:fɯm	itha:fɯ	itha:fɯm				l
ithal	y	y	ithal	ithaldʒi	itha:lim	itha:li	itha:lim				l
itham	y	y	itham	ithamdʒɯ	itha:mɯm	itha:mɯ	ithamɯm				l
anut	y	y	anut	anuttʃu	anutum	anutu	anutum				l
ithıyarı	n	n									l
ithiyarı	y	y	ihtija:ɾi:	ihtija:ɾi:dʒi	ihtija:ɾi:jim	ihtija:ɾi:ji	ihtija:ɾim				l
itibar	y	y	i:tibaɾ	i:tibaɾdʒɯ	i:tiba:ɾɯm	i:tiba:ɾɯ	i:tiba:ɾɯm				l
itibaren	y	y	itiba:ɾen	itiba:ɾendʒi	itiba:ɾenim	itiba:ɾeni	itiba:ɾenim				l
itici	y	y	itidʒi	itidʒi	itidʒijim	itidʒiji	itidʒim				l
itidal	y	y	itidal	itidaldʒi	itidalim	itidali	itidalim				l
itikâ	n	n									l
itikâf	n	n									l
itikâl	n	n									l
itikad	y	y	i:tikad	i:tikattʃɯ	i:tika:dɯm	i:tika:dɯ	i:tika:dɯm				l
anyon	n	n									l
itila	y	y	i:tila:	i:tila:dʒɯ	i:tila:jɯm	i:tila:jɯ	i:tila:m				l
itilâ	y	y	itila:	itila:dʒɯ	itila:jɯm	itila:jɯ	itila:m				l
itilâf	y	y	itilaf	itilaftʃɯ	itila:fɯm	itila:fɯ	itila:fɯm				l
itilaf	y	y	i:tilaf	i:tilaftʃɯ	i:tila:fɯm	i:tila:fɯ	i:tila:fɯm				l
itilim	y	n	itiɫim	itiɫimdʒi	itiɫimim	itiɫimi	itiɫimim				l
itimad	y	y	i:timat	i:timattʃɯ	i:tima:dɯm	i:tima:dɯ	i:tima:dɯm				l
itimat	y	y	i:timat	i:timattʃɯ	i:tima:dɯm	i:timadɯ	i:tima:dɯm				l
itina	y	y	itina:	itina:dʒɯ	itina:jɯm	itina:jɯ	itina:m				l
itiraf	y	y	i:tiɾaf	i:tiɾaftʃɯ	i:tiɾa:fɯm	i:tiɾa:fɯ	i:tiɾa:fɯm				l
itiraz	y	y	i:tiɾaz	i:tiɾazdʒɯ	i:tiɾa:zɯm	i:tiɾa:zɯ	i:tiɾa:zɯm				l
açıkağız	y	y	atʃɯkaɯz	atʃɯkaɯzdʒɯ	atʃɯkaɯzɯm	atʃɯkaɯzɯ	atʃɯkaɯzɯm				l
anzarot	y	y	anzaɾot	anzaɾottʃu	anzaɾotum	anzaɾotu	anzaɾotum				l
itişli	y	y	itiʃɫi		itiʃɫijim	itiʃɫiji	itiʃɫim				l
itişmek	y	y	itiʃmek					itiʃiɾ		itiʃtiɾiɾ	l
itisaf	n	n									l
itiyad	y	y	iti:jat	iti:jattʃɯ	iti:ja:dɯm	iti:ja:dɯ	iti:ja:dɯm				l
itiyat	y	y	itijat	itijattʃɯ	itija:dɯm	itija:dɯ	itija:dɯm				l
itizal	n	n									l
itizar	y	y	i:tizaɾ	i:tizaɾdʒɯ	i:tiza:ɾɯm	i:tiza:ɾɯ	i:tiza:ɾɯm				l
itki	n	n									l
itlâf	y	y	itlaf	itlaftʃɯ	itla:fɯm	itla:fɯ	itla:fɯm				l
itlaf	y	y	itlaf		itla:fɯm	itla:fɯ	itlaftʃɯ				l
aort	y	y	aoɾt	aoɾttʃu	aoɾtum	aoɾtu	aoɾtum				l
itlik	y	y	itɫik	itɫiktʃi	itɫiim	itɫii	itɫiim				l
itmam	y	y	itmam	itmamdʒɯ	itma:mɯm	itma:mɯ	itma:mɯm				l
itmek	y	y	itmek					iteɾ		ittiɾiɾ	l
itminan	n	n									l
itriyum	y	n	itɾijum	itɾijumdʒu	itɾijumum	itɾijumu	itɾijumum				l
ittırad	n	n									l
ittırat	n	n									l
ittiba	y	y	ittiba:	ittiba:dʒɯ	ittiba:jɯm	ittiba:jɯ	ittiba:m				l
ittifak	y	y	ittifak	ittifaktʃɯ	ittifaɯm	ittifaɯ	ittifaɯm				l
ittihad	y	y	ittihat	ittihattʃɯ	ittiha:dɯm	ittiha:dɯ	ittiha:dɯm				l
ap-	n	n									l
ittiham	y	y	ittiham	ittihamdʒɯ	ittiha:mɯm	ittiha:mɯ	ittiha:mɯm				l
ittihat	y	y	ittihat	ittihattʃɯ	ittiha:dɯ	ittiha:dɯ	ittiha:dɯm				l
ittihaz	n	n									l
ittika	n	n									l
ittisa	n	n									l
ittisal	n	n									l
itüzümü	n	n									l
ityan	n	n									l
ityatağı	y	y	itjataɯ	itjataktʃɯ	itjataɯjɯm	itjataɯnɯ	itjataɯm				l
ivaz	n	n									l
apaçık	y	y	apatʃɯk	apatʃɯktʃɯ	apatʃɯɯm	apatʃɯɯ	apatʃɯɯm				l
ivdireç	n	n									l
ivdirmek	n	n									l
ivecen	y	y	ivedʒen	ivedʒendʒi	ivedʒenim	ivedʒeni	ivedʒenim				l
ivgi	n	n									l
ivicac	n	n									l
ividi	y	y	ivedi:	ivedi:dʒi	ivedi:jim	ivedi:ji	ivedi:m				l
ivik	n	n									l
ivinti	n	n									l
ivirmek	n	n									l
iviz	n	n									l
apacı	n	n									l
ivmek	n	n									l
iyadet	n	n									l
iye	n	n									l
iyi	y	y	iji	ijidʒi	ijijim	ijiji	ijim				l
iyice	y	y	ijidʒe	ijidʒedʒi	ijidʒejim	ijidʒeji	ijidʒem				l
iyod	y	y	ijot	ijottʃu	ijotum	ijodu	ijodum				l
iyod-	y	y	ijot	ijottʃu	ijodum	ijodu	ijodum				l
iyon	y	y	ijon	ijondʒu	ijonum	ijonu	ijonum				l
iyot	y	y	ijot	ijottʃu	ijotum	ijotu	ijotum				l
iz	y	y	iz	izdʒi	izim	izi	izim				l
apandis	y	y	apandisit	apandisittʃi	apandisitim	apandisiti	apandisitim				l
izac	y	y	i:zatʃ	i:za:tʃtʃɯ	i:za:dʒɯm	i:za:dʒɯ	i:za:dʒɯm				l
izaa	n	n									l
izabe	y	y	iza:be	iza:bedʒi	iza:bejim	iza:beji	iza:bem				l
izaç	y	n	izatʃ	iza:tʃtʃɯ	iza:dʒɯm	iza:dʒɯ	iza:dʒɯm				l
izafe	y	y	iza:fe	iza:fe:dʒi	iza:fe:jim	iza:fe:ji	iza:fem				l
