lexeme	knows	uses	citation	profs	predicative	accusative	possessive	aorist	infinitive	causative	ulcase
istikra											l
istikrah											l
istikrar											l
istikraz											l
istikşaf											l
istiksar											l
istila			istiɫa:		istiɫa:jɯm	istiɫa:jɯ	istiɫa:m				l
istilâ			istila:	istila:dʒɯ	istila:jɯm	istila:jɯ	istila:m				l
açık			atʃɯk	atʃɯktʃɯ	atʃɯɯm	atʃɯɯ	atʃɯɯm				l
antrdö											l
istilâm											l
istilyoz											l
istilzam											l
istim											l
istima											l
istimal											l
istiman											l
istimar											l
istimara											l
istimbat											l
antre											l
istimbot			istimbot	istimbottʃu	istimbotum	istimbotu	istimbotum				l
istimdad			istimdat		istimda:tɯm	istimda:tɯ	istimda:tɯm				l
istimdat											l
istimhal											l
istimlâk											l
istimlak			istimlak		istimlaɯm	istimlaɯ	istimlaɯm				l
istimna											l
istimrar											l
istimzaç											l
istinabe											l
antrenman											l
istinad											l
istinaden											l
istinaf											l
istinare											l
istinas											l
istinat			istinat	istinattʃɯ	istinadɯm	istinadɯ	istinadɯm				l
istinbat											l
istinga											l
istinkâf											l
istinsah											l
antrenör			antɾenøɾ		antɾenøɾym	antɾenøɾy	antɾenøɾym				l
istintac											l
istintaç											l
istintak											l
istirahat			istiɾahat	istiɾahattʃi	istiɾahatim	istiɾahati	istiɾahatim				l
istirdad											l
istirdat											l
istirham											l
istiridye			istiɾidje		istiɾidjejim	istiɾidjeji	istiɾidjem				l
istirkâb											l
istişare											l
antrepo			antɯɾepo	antɯɾepodʒu	antɯɾepojum	antɯɾepoju	antɯɾepom				l
istişhad											l
istişmam											l
istisal											l
istisgar											l
istiska											l
istiskal											l
istismar											l
istisna											l
istitaat											l
istitale											l
antropo-											l
istitrad											l
istitrat											l
istiva											l
istizah											l
istizan											l
istizmac											l
istofa											l
istok											l
istop			istop		istopum	istopu	istopum				l
istor											l
anüs			anys		anysym	anysy	anysym				l
istralya											l
istromaça											l
istrongilos											l
isyan			isjan	isjandʒɯ	isjanɯm	isjanɯ	isjanɯm				l
it			it	ittʃi	itim	iti	itim				l
itab											l
ita											l
itaat			itaat	itaattʃi	itaatim	itaati	itaatim				l
itab											l
italik			itaɫik	itaɫiktʃi	itaɫiim	itaɫii	itaɫiim				l
anud											l
itap											l
itboğan											l
itburnu											l
itdirseği											l
iteklemek											l
iterbiyum											l
itfa											l
ithaf			ithaf	ithaftʃɯ	itha:fɯm	itha:fɯ	itha:fɯm				l
ithal			ithal		itha:lim	itha:li	itha:lim				l
itham			itham	ithamdʒɯ	ithamɯm	ithamɯ	ithamɯm				l
anut											l
ithıyarı											l
ithiyarı			ihtija:ɾi:		ihtija:ɾi:jim	ihtija:ɾi:ji	ihtija:ɾi:m				l
itibar			i:tibaɾ		i:tiba:ɾɯm	i:tiba:ɾɯ	i:tiba:ɾɯm				l
itibaren			i:tiba:ɾen								l
itici											l
itidal											l
itikâ											l
itikâf											l
itikâl											l
itikad											l
anyon			anjon		anjonum	anjonu	anjonum				l
itila											l
itilâ											l
itilâf											l
itilaf											l
itilim											l
itimad											l
itimat			i:timat	i:timattʃɯ	i:timadɯm	i:timadɯ	i:timadɯm				l
itina			i:tina:		i:tina:jɯm	i:tina:jɯ	i:tina:m				l
itiraf											l
itiraz			i:tiɾaz		i:tiɾa:zɯm	i:tiɾa:zɯ	i:tiɾa:zɯm				l
açıkağız											l
anzarot											l
itişli											l
itişmek											l
itisaf											l
itiyad											l
itiyat											l
itizal											l
itizar											l
itki											l
itlâf											l
itlaf											l
aort											l
itlik											l
itmam											l
itmek											l
itminan											l
itriyum											l
ittırad											l
ittırat											l
ittiba											l
ittifak			ittifak		ittifa:kɯm	ittifa:kɯ	ittifa:kɯm				l
ittihad			ittihat	ittihattʃɯ	ittihadɯm	ittihadɯ	ittihadɯm				l
ap-											l
ittiham											l
ittihat											l
ittihaz											l
ittika											l
ittisa											l
ittisal											l
itüzümü											l
ityan											l
ityatağı											l
ivaz											l
apaçık			apatʃɯk		apatʃɯɯm	apatʃɯɯ	apatʃɯɯm				l
ivdireç											l
ivdirmek											l
ivecen											l
ivgi											l
ivicac											l
ividi			ivedi		ivedijim	ivediji	ivedim				l
ivik											l
ivinti											l
ivirmek											l
iviz											l
apacı											l
ivmek											l
iyadet											l
iye											l
iyi			iji		ijijim	ijiji	ijim				l
iyice			ijidʒe								l
iyod			ijot	ijottʃu	ijodum	ijodu	ijodum				l
iyod-											l
iyon			ijon		ijonum	ijonu	ijonum				l
iyot											l
iz											l
apandis			apandis		apandisim	apandisi	apandisim				l
izac											l
izaa											l
izabe											l
izaç											l
izafe											l
izafi			iza:fi		iza:fi:jim	iza:fi:ji	iza:fim				l
izafî											l
izah											l
izale											l
izam											l
apansız			apansɯz	apansɯzdʒɯ	apansɯzɯm	apansɯzɯ	apansɯzɯm				l
izan											l
izaz											l
izbarço											l
izbe											l
izbiro											l
izci			izdʒi	izdʒidʒi	izdʒim	izdʒijim	izdʒiji				l
izdiham											l
izdivac											l
izdivaç											l
izdiyad											l
apansızın											l
izdiyat											l
izdüşümü											l
izerge											l
izge											l
izhar											l
izin			izin	izindʒi	izinim	izni	iznim				l
izinli											l
izlâl											l
izlem											l
izlemek											l
apar											l
izli											l
izmarit											l
izmavla											l
izmihlâl											l
izmihlal											l
izmineral											l
izn-											l
izo-											l
izolasyon											l
izomer											l
apar topar											l
izzet											l
jaguar											l
jakar											l
jaketatay			ʒaketataj	ʒaketatajdʒɯ	ʒaketatajɯm	ʒaketatajɯ	ʒaketatajɯm				l
jako											l
jale											l
jaluzi			ʒaɫuzi		ʒaɫuzijim	ʒaɫuziji	ʒaɫuzim				l
jambon											l
jandarma			ʒandaɾma	ʒandaɾmadʒɯ	ʒandaɾmajɯm	ʒandaɾmajɯ	ʒandaɾmam				l
janjanlı											l
açılama											l
aparat											l
janr											l
jant			ʒant	ʒanttʃɯ	ʒantɯm	ʒantɯ	ʒantɯm				l
jarse			ʒaɾse	ʒaɾsedʒi	ʒaɾsejim	ʒaɾseji	ʒaɾsem				l
jartiye											l
jartiyer			ʒaɾtijeɾ		ʒaɾtijeɾim	ʒaɾtijeɾi	ʒaɾtijeɾim				l
je											l
jelada											l
jelatin			ʒeɫatin	ʒeɫatindʒi	ʒeɫatinim	ʒeɫatini	ʒeɫatinim				l
jeloz											l
jeneralize											l
aparmak											l
jenet											l
jenetik			genetik	genetiktʃi	genetiim	genetii	genetiim				l
jenk											l
jeo-											l
jest			ʒest		ʒestim	ʒesti	ʒestim				l
jet			ʒet	ʒettʃi	ʒetim	ʒeti	ʒetim				l
