"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"m a k a n","makan","aa",-13.008346846234591,-11.28043634275908,-11.300021336865491,1.6891002822706591,1.0828270821289048,1.6881485735739905,1.078388901097211,3,"makan.mp3","Task",1
"ɫ a g a v","lagav","aa",-15.754122332862629,-20.553058174302627,-20.55978365883928,1.4882072475199175,1.011899048999812,1.487625321159881,1.011429504802159,3,"lagav.mp3","Task",1
"g a ɟ e ʒ","gagej","ae",-22.95925529063217,-Inf,-23.771850826744977,1.408639434555404,1.0072505448133169,1.4082066800608468,1.0070846951102934,3,"gagej.mp3","Task",1
"ɫ a m i v","lamiv","ai",-15.108322670255824,-19.84096460834095,-19.840167964977656,1.45267848057084,1.022668785041178,1.452164539040134,1.0216640887099704,3,"lamiv.mp3","Task",1
"k a n i n","kanin","ai",-13.587711962107177,-12.244157249014869,-12.2628318923973,1.6359797029730567,1.0856556606918544,1.6351267738613084,1.0812238961757654,3,"kanin.mp3","Task",1
"z a ʒ o h","zajoh","ao",-20.01616939621291,-23.3231454652614,-23.200842055018715,1.3161703693104103,1.0043869150779896,1.3159010409835006,1.0043743138247614,3,"zajoh.mp3","Task",1
"ɫ a ɾ u j","laruy","au",-14.988213898012642,-18.225237785879077,-18.23265340120377,1.4806633127456936,1.0515741074637193,1.48010342214873,1.0490474569155095,3,"laruy.mp3","Task",1
"k a k u ɾ","kakur","au",-14.067811152368842,-12.708404717891712,-12.729721104711002,1.5578537830579977,1.0749244666982,1.5571414460631403,1.071116634968564,3,"kakur.mp3","Task",1
"ɫ a n y j","lanüy","ay",-15.527981142957266,-20.048631415631327,-20.029886559218973,1.394546693721347,1.0266470238072245,1.394138324722925,1.0254534974166822,3,"lanüy.mp3","Task",1
"b a ɟ ø z","bagöz","aø",-22.46994439760235,-Inf,-18.968121900756447,1.3525891302094293,1.0208335147527232,1.3522568267997628,1.0199546011622187,3,"bagöz.mp3","Task",1
"k a t ø ɾ","katör","aø",-15.581196584717304,-14.400670214601377,-14.436010397238292,1.5237210169792808,1.059134654867906,1.5230713014199444,1.0562306009407805,3,"katör.mp3","Task",1
