"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"g a h a n","gahan","aa",-15.424795057512029,-12.671136251120728,-12.713594601335702,1.5950046496787846,1.0568362269206326,1.5942160548671798,1.0537746821415517,1,"gahan.mp3","Task",1
"z a ʒ a ʒ","zajaj","aa",-20.65156820085194,-20.88415273374731,-21.111799773330876,1.473656473289835,1.005674667143876,1.4731036094504746,1.0055823087757958,1,"zajaj.mp3","Task",1
"h a v e ʒ","havej","ae",-19.09461168027044,-16.910155513317502,-17.0401322477831,1.4491259370421068,1.0389424664117677,1.448622803127972,1.0370968958000453,1,"havej.mp3","Task",1
"ɫ a c i c","lakik","ai",-20.85006703745811,-Inf,-28.268360365160696,1.393714475584772,1.0031978955195548,1.393307140789591,1.003244424758624,1,"lakik.mp3","Task",1
"z a c i c","zakik","ai",-21.79076817824873,-Inf,-28.16360280521193,1.396529547044278,1.0049309977725878,1.3961173439888992,1.0048864608834187,1,"zakik.mp3","Task",1
"f a m o ʒ","famoj","ao",-19.525006628199367,-18.56252100678364,-18.678545352468166,1.3639122810041675,1.0205395864056823,1.3635640039359638,1.0196690224611438,1,"famoj.mp3","Task",1
"z a g u ʒ","zaguj","au",-20.29947828385247,-22.63081735331332,-22.558066597039417,1.3322117684361712,1.0060543305370335,1.331916871021566,1.005951900443092,1,"zaguj.mp3","Task",1
"h a ʒ u ʒ","hajuj","au",-22.22459728237563,-20.574734095421437,-20.57980325185485,1.3552832193968376,1.024100953206239,1.354948500786981,1.0230524747443015,1,"hajuj.mp3","Task",1
"h a ɟ y ʒ","hagüj","ay",-23.863657450841075,-22.624553381069926,-22.344510460590467,1.3349575084723493,1.0247789272681185,1.334659755521368,1.023693209239092,1,"hagüj.mp3","Task",1
"ɫ a v ø c","lavök","aø",-20.9587256480507,-Inf,-27.741190815322057,1.3120436196337373,1.0128467704178925,1.311787239641347,1.0123863819849432,1,"lavök.mp3","Task",1
"ɫ a m ø s","lamös","aø",-16.4448878098927,-21.700506185311,-21.560223247833047,1.3597787878886536,1.0166672670594712,1.359429234768754,1.0160046485573355,1,"lamös.mp3","Task",1
"ɫ a ʒ ɯ v","lajıv","aɯ",-19.01413112958105,-25.27309072876929,-24.70218102731933,1.3434818002281597,1.0027190231281846,1.3431627791155516,1.0027934061307997,1,"lajıv.mp3","Task",1
"b e v a z","bevaz","ea",-16.49220087297713,-13.608243420111007,-13.653196067821916,1.477372226790212,1.039668977985646,1.4768067318712417,1.0377122037388582,1,"bevaz.mp3","Task",1
"ɟ e ʒ a ʒ","gejaj","ea",-24.87273813272853,-Inf,-27.9824876029104,1.3654519295070486,1.0018873378066473,1.3650862603539733,1.0019937933222605,1,"gejaj.mp3","Task",1
"l e l e c","lelek","ee",-21.338527197603927,-31.45089604529384,-30.582591541482635,1.2981271077413907,1.0037045395306985,1.2978856396230185,1.0037202628550872,1,"lelek.mp3","Task",1
"b e v i z","beviz","ei",-17.164705407397012,-14.3441056545888,-14.386834265478743,1.3998179501932546,1.0313640525417127,1.3993936154387292,1.029874405398718,1,"beviz.mp3","Task",1
"l e l i v","leliv","ei",-19.259752917339,-29.576825325610372,-28.93865942698328,1.3165643111836578,1.004552273472661,1.316286257844561,1.0045149324559184,1,"leliv.mp3","Task",1
"n e m o h","nemoh","eo",-16.32924773528244,-20.77206130453725,-20.72677249674745,1.276400178714621,1.016692629955233,1.2761991218991138,1.016027305212858,1,"nemoh.mp3","Task",1
"l e g u j","leguy","eu",-19.01681077838631,-26.364507293773418,-25.975664718831844,1.2483428858636896,1.0016771227161092,1.248186398979058,1.0018008835043444,1,"leguy.mp3","Task",1
"b e ʒ u z","bejuz","eu",-20.09685568317635,-17.616675465865157,-17.692227901481022,1.2990802527770584,1.0147738277840022,1.298836883201828,1.0141969018237178,1,"bejuz.mp3","Task",1
"t e m y ɾ","temür","ey",-15.097011485226544,-13.149158478430715,-13.17506319379305,1.3952910296657324,1.043610721726628,1.3948618624207878,1.0414893151040772,1,"temür.mp3","Task",1
"ɟ e ɟ ø c","gegök","eø",-29.515236701833903,-Inf,-35.387903759308166,1.1759662589424205,1.0001090155892292,1.1759456395053902,1.0003211623361203,1,"gegök.mp3","Task",1
"l e m ø c","lemök","eø",-22.135268586336817,-Inf,-30.8974573340183,1.2302737214773412,1.0104704475845636,1.230158604762022,1.010134576043257,1,"lemök.mp3","Task",1
"b e d͡ʒ ɯ z","becız","eɯ",-17.81982760102264,-14.454949896520516,-14.498099044664276,1.3212001426293818,1.018554063995171,1.3209174839829685,1.0177796681696785,1,"becız.mp3","Task",1
"l i ɾ a ɫ","liral","ia",-15.3609350799713,-19.8361902836386,-19.591438837393905,1.4834033363849624,1.052665896370704,1.482810949290984,1.049897439309165,1,"liral.mp3","Task",1
"ʃ i ʒ a z","şijaz","ia",-19.04980356239507,-19.97037085869323,-19.99831106394273,1.315532256051761,1.0098413554752772,1.315247063807122,1.009482109892058,1,"şijaz.mp3","Task",1
"l i l e c","lilek","ie",-21.536362523929785,-31.08398438892405,-30.331424169322283,1.2119594300984098,1.002450860254562,1.2118670410071015,1.002532859654261,1,"lilek.mp3","Task",1
"t i ɾ i n","tirin","ii",-14.025136929876307,-13.29622096087098,-13.31495014679013,1.4868293162319706,1.0380836476564423,1.4862336716167204,1.036141119098454,1,"tirin.mp3","Task",1
"v i c i t͡ʃ","vikiç","ii",-20.547113263958217,-Inf,-23.1711421973128,1.2268410034005357,1.0039829073988151,1.2267195786230238,1.0039769766982811,1,"vikiç.mp3","Task",1
"ɟ i f o ʒ","gifoj","io",-24.780676297755964,-25.425443803693742,-25.116310217920844,1.1272633513846158,1.0025592701523314,1.1273248298147074,1.0026389458748235,1,"gifoj.mp3","Task",1
"b i j u z","biyuz","iu",-17.587656552519828,-14.901222365010376,-14.934988048180376,1.2542839912465815,1.0211939364547036,1.2541176642790226,1.0202725415610168,1,"biyuz.mp3","Task",1
"z i ʃ u ʒ","zişuj","iu",-20.61119648749196,-21.50834429121576,-21.43777842049785,1.1722474271142185,1.0065648677878622,1.1722290569471934,1.0064344360939144,1,"zişuj.mp3","Task",1
"f i m y z","fimüz","iy",-17.903375865695956,-14.742633621324917,-14.786764221872444,1.201636639433986,1.0120057633303254,1.2015630839111278,1.0115817861902552,1,"fimüz.mp3","Task",1
"v i ɟ ø ʒ","vigöj","iø",-26.08508432555531,-Inf,-26.573834589061327,1.1072439154231664,1.002221233960113,1.107341952591128,1.002322393863214,1,"vigöj.mp3","Task",1
"f i f ø c","fifök","iø",-22.93434618012945,-Inf,-24.81560530960652,1.1324703057575094,1.00781397621939,1.132524760714353,1.0076205413173758,1,"fifök.mp3","Task",1
"l i ʒ ɯ h","lijıh","iɯ",-21.23680996197397,-30.679339934133328,-29.742273739726983,1.158327478084528,1.0005226776773717,1.1583284213199998,1.000711052533111,1,"lijıh.mp3","Task",1
"d͡ʒ o ʒ a ʒ","cojaj","oa",-22.732617383645024,-22.66022685786692,-22.81587469719405,1.2757020818759344,1.001992869903803,1.275491702476653,1.002093919802276,1,"cojaj.mp3","Task",1
"ɫ o t a ɫ","lotal","oa",-14.65850607845412,-17.671672662841534,-17.682535023707715,1.3973781624522024,1.0300127259382086,1.3969353956490551,1.0284804983759424,1,"lotal.mp3","Task",1
"k o ɾ e n","koren","oe",-14.885879129991546,-12.897900518277458,-12.921968836319405,1.4935674111675834,1.051458107409831,1.492960755870561,1.0487970966537057,1,"koren.mp3","Task",1
"ɫ o c i v","lokiv","oi",-20.32154509757039,-Inf,-28.65533025674837,1.203566924559405,1.003612403694333,1.203484498665397,1.0036254079173543,1,"lokiv.mp3","Task",1
"ɫ o c i c","lokik","oi",-22.59815470416117,-Inf,-30.38087562282667,1.192024700888065,1.0024386182362308,1.1919663103397642,1.002525096162357,1,"lokik.mp3","Task",1
"b o ʒ o j","bojoy","oo",-21.245057054178083,-20.13244875835492,-20.04643182291501,1.1725304838846882,1.0075402588170546,1.1725072015915694,1.0073612568945542,1,"bojoy.mp3","Task",1
"n o t u s","notus","ou",-16.47465512035086,-19.735328187133018,-19.743774110963223,1.2269920276179962,1.0080817305580838,1.226868358906597,1.0078462760915818,1,"notus.mp3","Task",1
"g o ʒ u ʒ","gojuj","ou",-24.442688578324432,-22.033985445786712,-22.01620240568408,1.1437948305814645,1.001138393401175,1.1438260015087924,1.0012964338824402,1,"gojuj.mp3","Task",1
"k o m y ɾ","komür","oy",-16.353424337993484,-13.883195970862252,-13.910528361180043,1.3227564267292913,1.0242905957012058,1.3224527779546218,1.0231863397295329,1,"komür.mp3","Task",1
