"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"ɫ a ʒ a ʒ","lajaj","aa",-19.71086706006132,-20.997350540187437,-21.21655733327964,1.4708414018303289,1.003941564890843,1.4702934062511663,1.003940272651001,5,"lajaj.mp3","Task",1
"t a ɟ e z","tagez","ae",-19.01299062520888,-Inf,-20.823952022657384,1.4656215227621532,1.0269158977146384,1.465084309540202,1.0257003443047683,5,"tagez.mp3","Task",1
"ɫ a c e h","lakeh","ae",-18.035397518301707,-Inf,-25.02799923003836,1.3994050843368315,1.0041760500679735,1.3989840913843423,1.0041613512211216,5,"lakeh.mp3","Task",1
"h a ʒ i z","hajiz","ai",-18.940586263929728,-16.033624750362595,-16.176584461461953,1.4424736309368726,1.029251961469784,1.4419758181306943,1.0278844545484396,5,"hajiz.mp3","Task",1
"ɫ a m o s","lamos","ao",-15.135202724992508,-18.53976533327283,-18.547827889802,1.3788112113885682,1.0185489274708253,1.378427016464903,1.017775753755317,5,"lamos.mp3","Task",1
"ɫ a d͡ʒ o h","lacoh","ao",-17.01330714374341,-22.624939743800624,-22.534580136155395,1.3256740594338108,1.0050050745212178,1.3253881497876747,1.0049588515389372,5,"lacoh.mp3","Task",1
"z a ʒ u ʒ","zajuj","au",-22.21296112594883,-22.467527661364898,-22.468435327208887,1.3256708330824156,1.0043869150779896,1.3253873248250263,1.0043743138247614,5,"zajuj.mp3","Task",1
"ɫ a c y j","laküy","ay",-19.086255322116067,-Inf,-25.538775771876324,1.3230324671869529,1.003067474913099,1.3227486196407618,1.0031221678969575,5,"laküy.mp3","Task",1
"d a d͡ʒ y c","dacük","ay",-20.390530859618952,-21.37064354819536,-21.197885713347908,1.3547360937852992,1.0112501093178448,1.3544042392735065,1.0108747896025891,5,"dacük.mp3","Task",1
