"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
"m y ʒ i l","müjil","yi",-20.891058437119632,-18.275024894086325,-18.26894174408407,1.2897352362290226,1.0287321730069334,1.2895048394454542,1.0274260236712516,6,"müjil.mp3","Task",1
"n y n o s","nünos","yo",-16.90203561488304,-20.70390771506508,-20.701328454444155,1.2163205673403334,1.00936206536363,1.2162172370270818,1.0090732790913943,6,"nünos.mp3","Task",1
"m y p o ʒ","müpoj","yo",-21.062384677092385,-17.12481314942236,-17.238674158015545,1.217353092070428,1.030554594624349,1.2172586661563085,1.0291606916538274,6,"müpoj.mp3","Task",1
"m y k u ɾ","mükur","yu",-16.16672959638731,-13.647288442981042,-13.67480354663754,1.3486959861244403,1.040908137079269,1.348345503504382,1.0388933343742264,6,"mükur.mp3","Task",1
"l y l y c","lülük","yy",-24.087338776513203,-Inf,-33.35849160319946,1.1135850424096871,1.000610288249374,1.1136703680544862,1.0007953005759365,6,"lülük.mp3","Task",1
"m y d͡ʒ y z","mücüz","yy",-19.055770045147348,-15.489145500909974,-15.51914804312365,1.2205470790782769,1.0297516825712627,1.2204412615879323,1.028399004052331,6,"mücüz.mp3","Task",1
"ɟ y ɟ ø z","gügöz","yø",-28.261172142031192,-Inf,-27.20207685913116,1.0923810950775177,1.0002501387042984,1.0924989300689334,1.0004529214024969,6,"gügöz.mp3","Task",1
"ɟ y ʒ ɯ ʒ","güjıj","yɯ",-27.593669876805237,-Inf,-32.54585594703615,1.1262058924390637,1.0001090155892292,1.1262665863054913,1.0003211623361203,6,"güjıj.mp3","Task",1
"m y ɾ ɯ ɾ","mürır","yɯ",-15.856481481342133,-12.944319591547218,-12.972778988107237,1.435298597005871,1.053819451965324,1.434796547206406,1.0510915726346128,6,"mürır.mp3","Task",1
"ɟ ø ʒ a ʒ","göjaj","øa",-27.45584167623776,-Inf,-28.658578991412625,1.2132638879125943,1.0012877520658865,1.2131615198695442,1.001425904834909,6,"göjaj.mp3","Task",1
"t ø l e ɾ","töler","øe",-18.092071394057463,-Inf,-23.47218345961383,1.2904993682381145,1.015354289300933,1.29024438545329,1.0146192543931714,6,"töler.mp3","Task",1
"v ø l e c","völek","øe",-23.323793740357537,-Inf,-33.17836619636902,1.1573076239641735,1.000652103032279,1.1573097966742572,1.0008291941922065,6,"völek.mp3","Task",1
"t ø ɾ i n","törin","øi",-16.410405147059684,-14.831918462189485,-14.86886634674382,1.4208089522804974,1.0291017054180784,1.420327529748208,1.0276334200937636,6,"törin.mp3","Task",1
"b ø d͡ʒ o ʒ","böcoj","øo",-23.199615484381773,-22.94673486054192,-22.872071478740505,1.121083185876453,1.0015584369695272,1.121155460851373,1.0016920324034493,6,"böcoj.mp3","Task",1
"t͡ʃ ø j o p","çöyop","øo",-20.76116254339913,-16.85312947192674,-16.895892356598512,1.1297760413577145,1.0043570596970908,1.129827321681991,1.004335423634715,6,"çöyop.mp3","Task",1
"l ø ʒ u v","löjuv","øu",-24.17716973587194,-Inf,-28.848175212289668,1.0814626210119913,1.0004564721225957,1.0815977985088008,1.0006458088997068,6,"löjuv.mp3","Task",1
"ɟ ø ɟ y ʃ","gögüş","øy",-28.38202559692333,-Inf,-27.273964274617327,1.06451562774906,1.0016113280727483,1.064678843072776,1.001729331617179,6,"gögüş.mp3","Task",1
"v ø l y j","völüy","øy",-21.757817351341345,-Inf,-31.916689215783485,1.0935205953372813,1.0001956309096838,1.0936337054213383,1.000401295176374,6,"völüy.mp3","Task",1
