"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"h a h a ʒ","hahaj","aa",-18.279717885936645,-15.5480561905522,-15.694802669418907,1.5324850375176986,1.049136449025569,1.5318300917569716,1.046733780370724,2,"hahaj.mp3","Task",1
"ɫ a t a j","latay","aa",-13.539207723328191,-16.70963205807083,-16.722833062461532,1.5581158667217818,1.0364821239096451,1.5574094336214954,1.0346702629498348,2,"latay.mp3","Task",1
"ɫ a c e c","lakek","ae",-20.652231711132256,-Inf,-27.899065041129965,1.386819495813845,1.0035239470356945,1.3864247108936807,1.00355006691279,2,"lakek.mp3","Task",1
"g a ɟ i l","gagil","ai",-21.711665732611312,-21.848897140452937,-21.63415311259603,1.4234248610169082,1.0082939096649637,1.4229631257047886,1.0080627500036243,2,"gagil.mp3","Task",1
"h a c i z","hakiz","ai",-19.17393398541818,-Inf,-21.131318076779458,1.44361829462378,1.029014126217107,1.4431184887150887,1.027660226668782,2,"hakiz.mp3","Task",1
"z a ʒ o ʒ","zajoj","ao",-22.39965586755501,-21.87536781165056,-21.90077854150801,1.3043020941229309,1.0045825459876734,1.3040574801062963,1.004557699117261,2,"zajoj.mp3","Task",1
"h a ʒ u z","hajuz","au",-19.82947465460673,-17.11965647191572,-17.218070915836304,1.3720422673264103,1.0259268416966203,1.3716726499377587,1.0247640708076309,2,"hajuz.mp3","Task",1
"j a b u ʒ","yabuj","au",-19.31027464586884,-18.66177474584945,-18.602207543248568,1.3727688430545328,1.029576112826616,1.3724036038051812,1.02823132533125,2,"yabuj.mp3","Task",1
"ɫ a c y c","lakük","ay",-22.026637500586897,-Inf,-27.84286977614221,1.303338955612124,1.0029370543066431,1.3030961175258404,1.0029999110352912,2,"lakük.mp3","Task",1
"h a t͡ʃ ø z","haçöz","aø",-19.2911820112246,-16.038256272556517,-16.08294553334273,1.3428697105576248,1.02767606738203,1.3425540778269385,1.026436686056419,2,"haçöz.mp3","Task",1
"b a ɟ ø ʒ","bagöj","aø",-24.86506702537125,-Inf,-23.420803652697536,1.3358300822798563,1.0206378838430394,1.335532677648985,1.0197712158697192,2,"bagöj.mp3","Task",1
"z a ʒ ɯ ʒ","zajıj","aɯ",-21.998094155474003,-Inf,-26.305727027014363,1.3354719613518329,1.0043869150779896,1.3351706136026844,1.0043743138247614,2,"zajıj.mp3","Task",1
"b e ʒ a v","bejav","ea",-18.887323500746025,-19.56906284531509,-19.661279048791737,1.441131755390738,1.018474361069321,1.4406313873886738,1.01766664871558,2,"bejav.mp3","Task",1
"t e ɾ a n","teran","ea",-13.154797069130572,-11.724338917087254,-11.742921937601642,1.6505512704719087,1.1099233378103026,1.6496653866651498,1.104018173778758,2,"teran.mp3","Task",1
"b e v e ʒ","bevej","ee",-19.361992708840056,-16.706821942985723,-16.834862117610335,1.3761639224927549,1.0278984680883785,1.3757870363920413,1.0266329792683782,2,"bevej.mp3","Task",1
"ɟ e ɟ i c","gegik","ei",-27.129968484650533,-Inf,-33.995918426500694,1.286798785012282,1.0004350671053688,1.286576434113205,1.0006268044902862,2,"gegik.mp3","Task",1
"l e ʒ i z","lejiz","ei",-20.353317059019144,-23.404909965851168,-23.138865417442208,1.3100161638106471,1.005750594004306,1.3097474876247677,1.005617778175364,2,"lejiz.mp3","Task",1
"ɟ e j o ʒ","geyoj","eo",-23.913791342449223,-Inf,-24.87491275380586,1.2374689664526486,1.0110946677328192,1.2373395107029062,1.010721436984636,2,"geyoj.mp3","Task",1
"t͡ʃ e ʒ u ʒ","çejuj","eu",-23.04808049192325,-22.073070829734757,-22.06130764515632,1.2460500918115391,1.0066654436263762,1.2459043466753474,1.0065329248080075,2,"çejuj.mp3","Task",1
"ʃ e z u ʒ","şezuj","eu",-20.413361161166105,-21.30607077641668,-21.23961045572301,1.274892670609532,1.0140542779889286,1.2746965965867414,1.0135267325647053,2,"şezuj.mp3","Task",1
"v e ɟ y ʒ","vegüj","ey",-24.678551245174877,-25.32234222567088,-24.826847868345496,1.2138685991633609,1.0052790884770466,1.2137803225511092,1.0052181146545902,2,"vegüj.mp3","Task",1
"t͡ʃ e ʒ ø z","çejöz","eø",-22.14933769066073,-19.18578744927172,-19.077176117348685,1.222407977281713,1.00686107453606,1.2223008694112456,1.0067163101005072,2,"çejöz.mp3","Task",1
"n e m ø h","nemöh","eø",-17.63893282018263,-23.558108707134007,-23.245886540663424,1.2573677552147065,1.0157239137890697,1.2572013402029647,1.015111998046541,2,"nemöh.mp3","Task",1
