"word","ortho","vowels","uni_prob","bi_prob","bi_prob_smoothed","pos_uni_score","pos_bi_score","pos_uni_score_smoothed","pos_bi_score_smoothed","group","filename","display","randomise_trials"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prompt",NA
"h a ʒ a ʒ","hajaj","aa",-20.66320435727874,-18.991359167803843,-19.22316769797684,1.503268859604257,1.0253887052721251,1.502664785412429,1.024260469695336,4,"hajaj.mp3","Task",1
"k a ɾ e t","karet","ae",-12.998093041208076,-11.97346206217353,-11.990829041411471,1.6697599573021775,1.110223784834866,1.6688574527874926,1.1044830661891687,4,"karet.mp3","Task",1
"z a ɟ e c","zagek","ae",-22.710963226448087,-Inf,-26.8402764213242,1.3881083490241413,1.0055295882618005,1.3877113533137964,1.005450234168199,4,"zagek.mp3","Task",1
"ɫ a c i v","lakiv","ai",-18.573457430867325,-Inf,-26.542814999082395,1.405256699256112,1.004371680977657,1.4048253291152235,1.004344736513621,4,"lakiv.mp3","Task",1
"k a k o n","kakon","ao",-14.50659106646786,-12.17321902001452,-12.197940719744937,1.533550580453257,1.0716980709170678,1.532883248380266,1.0680836932215294,4,"kakon.mp3","Task",1
"h a ʒ o ʒ","hajoj","ao",-22.411292023981808,-19.98257424570709,-20.012146466153983,1.3339144804373528,1.0242965841159228,1.3336186560682508,1.023235860036801,4,"hajoj.mp3","Task",1
"b a b u z","babuz","au",-17.031411824215805,-14.580740364522184,-14.616442917521326,1.4171372456831095,1.0339474952511396,1.4166893612568667,1.0323546619528714,4,"babuz.mp3","Task",1
"z a c y c","zakük","ay",-22.967338641377516,-Inf,-27.738112216193443,1.30615402707163,1.004670156559676,1.305906320725149,1.004641947160086,4,"zakük.mp3","Task",1
"h a ʒ y z","hajüz","ay",-20.11715672705851,-17.4716328950729,-17.489616749544957,1.3520981109642247,1.0246878459352902,1.3517647948669438,1.0236026306218002,4,"hajüz.mp3","Task",1
"z a ɟ ø c","zagök","aø",-25.29406676995731,-Inf,-27.908409897602446,1.2841708027252068,1.0048774852295213,1.2839629886018915,1.004838949859867,4,"zagök.mp3","Task",1
"m a f ɯ ʒ","mafıj","aɯ",-19.123444916118363,-Inf,-20.272463690019517,1.433901152468908,1.028327685373242,1.4334293801112787,1.0270542242358425,4,"mafıj.mp3","Task",1
"b a d͡ʒ ɯ z","bacız","aɯ",-17.34515839292861,-14.26280182945655,-14.306332778850988,1.4154917370834543,1.0246087747061503,1.4150459441905807,1.023516791495323,4,"bacız.mp3","Task",1
"l e k a ɾ","lekar","ea",-15.017293036612118,-19.40783449813068,-19.044786274829686,1.5080939526744883,1.045194852222235,1.5074543029063974,1.0427811490211962,4,"lekar.mp3","Task",1
"ɟ e ɟ e c","gegek","ee",-26.93213315832468,-Inf,-34.31977028302991,1.279903805241355,1.0007611186215082,1.279694004217295,1.0009324466444522,4,"gegek.mp3","Task",1
"l e l e h","leleh","ee",-18.72169300477338,-28.452981385838587,-27.71152573039103,1.3107126962643774,1.0043566425629775,1.31044502011368,1.0043315471634189,4,"leleh.mp3","Task",1
"b e ɟ i ʒ","begij","ei",-22.954468016281908,-24.63461507476936,-24.18943630400108,1.352371013895645,1.0125225794453168,1.3520350120491875,1.012081798156116,4,"begij.mp3","Task",1
"ɟ e ʒ o ʒ","gejoj","eo",-26.6208257994316,-Inf,-28.771466371087545,1.1960975503401443,1.0007952166504448,1.196040131009795,1.0009691836637256,4,"gejoj.mp3","Task",1
"h e ʒ o ʃ","hejoş","eo",-20.611692059199083,-21.352021945146213,-21.261716898107,1.2591859769516531,1.0061370897175157,1.2590125489549313,1.006025124082477,4,"hejoş.mp3","Task",1
"m e ɾ u ɾ","merur","eu",-14.696942662362323,-13.023558297137315,-13.045322398545368,1.5265589938664366,1.061050686684545,1.5258999366294403,1.0579611009135987,4,"merur.mp3","Task",1
"ɟ e ɟ y c","gegük","ey",-28.30653894777932,-Inf,-33.570427837482214,1.196423265039634,1.000231209196349,1.1963654108494548,1.000436132364972,4,"gegük.mp3","Task",1
"l e l y c","lelük","ey",-22.712932987058565,-Inf,-31.625008565162982,1.2146465675396698,1.0031176468016472,1.214557046255178,1.0031701069775885,4,"lelük.mp3","Task",1
"v e ɟ ø ʒ","vegöj","eø",-25.88724899922946,-Inf,-26.13349816640546,1.1934115930661473,1.0050916845666988,1.1933605512070449,1.0050420161949054,4,"vegöj.mp3","Task",1
"ɟ e d͡ʒ ɯ ʃ","gecış","eɯ",-21.88283380279496,-Inf,-23.003164237882388,1.2591492701203255,1.0107052213650367,1.2589729296039585,1.0102980225080054,4,"gecış.mp3","Task",1
"m e ɾ ɯ ɾ","merır","eɯ",-14.482075691887497,-12.618518906214195,-12.639743620026252,1.5363601221358536,1.0643340657695692,1.535683225407098,1.061047884258652,4,"merır.mp3","Task",1
"b i h a ʒ","bihaj","ia",-18.744934240832112,-16.24298849238163,-16.385096205880032,1.3733553453253655,1.0233784812990958,1.372975726405124,1.0223335961608893,4,"bihaj.mp3","Task",1
"c i t͡ʃ e f","kiçef","ie",-20.35455499473321,-Inf,-23.19101449988911,1.2206632956388237,1.0041193198207332,1.2205511500064978,1.0040987094266125,4,"kiçef.mp3","Task",1
"ɟ i ɟ e c","gigek","ie",-27.129968484650533,-Inf,-33.71720502403168,1.193736127598374,1.0007611186215082,1.1936754056013783,1.0009324466444522,4,"gigek.mp3","Task",1
"b i ʒ i ʃ","bijiş","ii",-19.526656073717337,-17.97370132018528,-18.017836365125127,1.2861479817833397,1.0177954456980225,1.285919656722362,1.017025230789646,4,"bijiş.mp3","Task",1
"t i k o n","tikon","io",-15.196101206729836,-13.240996547523356,-13.26604749315664,1.31822773105001,1.0146171328879905,1.3179329037806882,1.0140073512575454,4,"tikon.mp3","Task",1
"b i j o p","biyop","io",-17.819792145237756,-14.411741791563118,-14.44982851725279,1.2320675183451335,1.019116645133666,1.231941850926206,1.018318051070536,4,"biyop.mp3","Task",1
"h i ʒ u ʒ","hijuj","iu",-22.89710181679552,-22.812369904220137,-22.719046165604528,1.174823947299784,1.005038918518121,1.1748014419634516,1.0049919529548976,4,"hijuj.mp3","Task",1
"n i v y j","nivüy","iy",-17.493047560834334,-22.47616192556484,-22.44275508862507,1.18050489552488,1.0055738254825757,1.1804673180900334,1.0054960636982748,4,"nivüy.mp3","Task",1
"l i l y j","lilüy","iy",-19.9703861349136,-Inf,-29.06974718873675,1.1481724014715176,1.0019943881319666,1.148190949754183,1.002104960638429,4,"lilüy.mp3","Task",1
"l i v ø c","livök","iø",-23.521629066683385,-Inf,-33.078770632151944,1.1258459326384591,1.0021258039899703,1.1259116896807664,1.0022313327026664,4,"livök.mp3","Task",1
"f i b ɯ ʒ","fibıj","iɯ",-20.436961838794783,-Inf,-22.99963373834789,1.1898218295863592,1.0083986623139738,1.1897722159469446,1.0081722495289367,4,"fibıj.mp3","Task",1
"t i k ɯ ɾ","tikır","iɯ",-14.54245432215599,-13.212451852990958,-13.233651743758994,1.352332061924168,1.0240330562526363,1.3519743902412205,1.0228729978485829,4,"tikır.mp3","Task",1
"t͡ʃ o ɫ a ʒ","çolaj","oa",-19.424282256875884,-18.005456232553836,-18.13605719361724,1.37194225034822,1.027293545810697,1.3715644260384483,1.0260195746102412,4,"çolaj.mp3","Task",1
"ʃ o ʃ e ʒ","şoşej","oe",-20.72090935766442,-22.109244486171928,-22.17599288318765,1.2201293152835069,1.0053494657208828,1.2200223876473202,1.005275324117079,4,"şoşej.mp3","Task",1
"d͡ʒ o c e c","cokek","oe",-23.67398203471596,-Inf,-30.529401402579964,1.1916801758594504,1.0012482052809664,1.1916230071191674,1.0013939567073278,4,"cokek.mp3","Task",1
"b o ʒ i n","bojin","oi",-19.551581921206928,-15.34865531235195,-15.46250667001904,1.3176726144950657,1.0201904519518092,1.3173711639403407,1.019223006244508,4,"bojin.mp3","Task",1
